rank,city,state,population,latitude,longitude
1,New York,NY,8467513,40.7127281,-74.0060152
2,Los Angeles,CA,3849297,34.0536909,-118.242766
3,Chicago,IL,2696555,41.8755616,-87.6244212
4,Houston,TX,2288250,29.7589382,-95.3676974
5,Phoenix,AZ,1624569,33.4484367,-112.0741417
6,Philadelphia,PA,1576251,39.9527237,-75.1635262
7,San Antonio,TX,1451853,29.4246002,-98.4951405
8,San Diego,CA,1381611,32.7174202,-117.1627728
9,Dallas,TX,1288457,32.7762719,-96.7968559
10,San Jose,CA,983489,37.3361905,-121.890583
11,Austin,TX,964177,30.2711286,-97.7436995
12,Jacksonville,FL,954614,30.3321838,-81.655651
13,Fort Worth,TX,935508,32.753177,-97.3327459
14,Columbus,OH,906528,39.9622601,-83.0007065
15,Indianapolis,IN,882039,39.7683331,-86.1583502
16,Charlotte,NC,879709,35.2272086,-80.8430827
17,San Francisco,CA,815201,37.7790262,-122.419906
18,Seattle,WA,733919,47.6038321,-122.3300624
19,Denver,CO,711463,39.7392364,-104.9848623
20,Oklahoma City,OK,687725,35.4729886,-97.5170536
21,Nashville,TN,678851,36.1622767,-86.7742984
22,El Paso,TX,678415,31.7754152,-106.464634
23,Washington,DC,670050,38.8950368,-77.0365427
24,Boston,MA,654776,42.3602534,-71.0582912
25,Las Vegas,NV,646790,36.1672559,-115.148516
26,Portland,OR,641162,45.5202471,-122.6741949
27,Detroit,MI,632464,42.3315509,-83.0466403
28,Louisville,KY,628594,38.2542376,-85.759407
29,Memphis,TN,628127,35.1335022,-89.9668758
30,Baltimore,MD,576498,39.2908816,-76.610759
31,Milwaukee,WI,569330,43.0349931,-87.922497
32,Albuquerque,NM,562599,35.21287095,-106.7132485
33,Fresno,CA,544510,36.7295295,-119.7088613
34,Tucson,AZ,543242,32.2228765,-110.9748477
35,Sacramento,CA,525041,38.5810606,-121.493895
36,Mesa,AZ,509475,33.4151117,-111.8314792
37,Kansas City,MO,508394,39.100105,-94.5781416
38,Atlanta,GA,496461,33.7489924,-84.3902644
39,Omaha,NE,487300,41.2587459,-95.9383758
40,Colorado Springs,CO,483956,38.8339578,-104.825348
41,Raleigh,NC,469124,35.7803977,-78.6390989
42,Virginia Beach,VA,457672,36.8529841,-75.9774183
43,Long Beach,CA,456062,33.7690164,-118.191604
44,Miami,FL,439890,25.7741728,-80.19362
45,Oakland,CA,433823,37.8044557,-122.2713563
46,Minneapolis,MN,425336,44.9772995,-93.2654692
47,Tulsa,OK,411401,36.1556805,-95.9929113
48,Bakersfield,CA,407615,35.3738712,-119.0194639
49,Wichita,KS,395699,37.6922361,-97.3375448
50,Arlington,TX,392786,32.701939,-97.10562379
51,Aurora,CO,389347,39.7405111,-104.8309947
52,Tampa,FL,387050,27.9477595,-82.458444
53,New Orleans,LA,376971,29.9759983,-90.0782127
54,Cleveland,OH,367991,41.4996562,-81.6936813
55,Anaheim,CA,345940,33.8347516,-117.911732
56,Honolulu,HI,345510,21.304547,-157.855676
57,Henderson,NV,322178,36.0301134,-114.9826194
58,Stockton,CA,322120,37.9577016,-121.2907796
59,Lexington,KY,321793,38.0464066,-84.4970393
60,Corpus Christi,TX,317773,27.7951482,-97.3942053
61,Riverside,CA,317261,33.9459413,-117.4102444
62,Santa Ana,CA,309441,33.7494951,-117.8732213
63,Orlando,FL,309154,28.5421109,-81.3790304
64,Irvine,CA,309031,33.6856969,-117.8259819
65,Cincinnati,OH,308935,39.1014537,-84.5124602
66,Newark,NJ,307220,40.735657,-74.1723667
67,St. Paul,MN,307193,44.9497487,-93.0931028
68,Pittsburgh,PA,300431,40.4416941,-79.9900861
69,Greensboro,NC,298263,36.0726355,-79.7919754
70,St. Louis,MO,293310,38.6264256,-90.1995853
71,Lincoln,NE,292657,40.8088861,-96.7077751
72,Plano,TX,288253,33.0136764,-96.6925096
73,Anchorage,AK,288121,61.2163129,-149.894852
74,Durham,NC,285527,35.9825698,-78.90918653
75,Jersey City,NJ,283927,40.7215682,-74.047455
76,Chandler,AZ,279458,33.3061605,-111.84125
77,Chula Vista,CA,277220,32.6400541,-117.0841955
78,Buffalo,NY,276807,42.8867166,-78.8783922
79,North Las Vegas,NV,274133,36.2005843,-115.121584
80,Gilbert,AZ,273136,33.3527632,-111.7890373
81,Madison,WI,269196,43.074761,-89.3837613
82,Reno,NV,268851,39.5261206,-119.8126581
83,Toledo,OH,268508,41.6529143,-83.5378173
84,Fort Wayne,IN,265974,41.0799898,-85.1386015
85,Lubbock,TX,260993,33.5635206,-101.879336
86,St. Petersburg,FL,258201,27.7703796,-82.6695085
87,Laredo,TX,256153,27.5236998,-99.497352
88,Irving,TX,254198,32.8295183,-96.9442177
89,Chesapeake,VA,251269,36.7183708,-76.2466798
90,Winston-Salem,NC,250320,36.0998131,-80.2440518
91,Glendale,AZ,249630,33.5386858,-112.1859941
92,Scottsdale,AZ,242753,33.4942189,-111.9260184
93,Garland,TX,242035,32.912624,-96.6388833
94,Boise City,ID,237446,43.6166163,-116.200886
95,Norfolk,VA,235089,36.8968052,-76.2602336
96,Spokane,WA,229071,47.6571934,-117.4235106
97,Fremont,CA,227514,37.5482697,-121.988571
98,Richmond,VA,226604,37.5385087,-77.43428
99,Santa Clarita,CA,224593,34.3916641,-118.542586
100,San Bernardino,CA,222203,34.8253019,-116.0833144
101,Baton Rouge,LA,222185,30.4459596,-91.18738
102,Hialeah,FL,220490,25.8670439,-80.29146452
103,Tacoma,WA,219205,47.2495798,-122.4398746
104,Modesto,CA,218771,37.6390972,-120.9968782
105,Port St. Lucie,FL,217523,27.2939333,-80.3503283
106,Huntsville,AL,216963,34.729847,-86.5859011
107,Des Moines,IA,212031,41.5910323,-93.6046655
108,Moreno Valley,CA,211600,33.937517,-117.2305944
109,Fontana,CA,210761,34.0922335,-117.435048
110,Frisco,TX,210719,33.1506744,-96.8236116
111,Rochester,NY,210606,43.157285,-77.615214
112,Yonkers,NY,209530,40.9312099,-73.8987469
113,Fayetteville,NC,208778,35.0525759,-78.878292
114,Worcester,MA,205918,42.2625621,-71.8018877
115,Columbus,GA,205617,32.4610708,-84.9880449
116,Cape Coral,FL,204510,26.6059432,-81.9806771
117,McKinney,TX,202690,33.1976496,-96.6154471
118,Little Rock,AR,201998,34.7465071,-92.2896267
119,Oxnard,CA,201879,34.1976308,-119.1803818
120,Amarillo,TX,201234,35.2072185,-101.8338246
121,Augusta-Richmond County,GA,201196,33.4709714,-81.9748429
122,Salt Lake City,UT,200478,40.7596198,-111.8867975
123,Montgomery,AL,198665,32.3669656,-86.3006485
124,Birmingham,AL,197575,33.5206824,-86.8024326
125,Grand Rapids,MI,197416,42.9632405,-85.6678639
126,Grand Prairie,TX,197347,32.7459645,-96.9977846
127,Overland Park,KS,197106,38.9742502,-94.6851702
128,Tallahassee,FL,197102,30.4380832,-84.2809332
129,Huntington Beach,CA,196652,33.6783336,-118.0000166
130,Sioux Falls,SD,196528,43.5460587,-96.7313928
131,Peoria,AZ,194917,33.5806115,-112.237294
132,Knoxville,TN,192648,35.9603948,-83.9210261
133,Glendale,CA,192366,34.1469416,-118.2478471
134,Vancouver,WA,192169,45.6306954,-122.6744557
135,Providence,RI,189692,41.8239891,-71.4128343
136,Akron,OH,189347,41.083064,-81.518485
137,Brownsville,TX,187831,25.9140256,-97.4890856
138,Mobile,AL,184952,30.6943566,-88.0430541
139,Newport News,VA,184587,36.9775016,-76.42977
140,Tempe,AZ,184118,33.4255056,-111.9400091
141,Shreveport,LA,184021,32.5221828,-93.7651944
142,Chattanooga,TN,182113,35.0457219,-85.3094883
143,Fort Lauderdale,FL,181668,26.1223084,-80.1433786
144,Aurora,IL,179266,41.7571701,-88.3147539
145,Elk Grove,CA,178997,38.4087993,-121.3716178
146,Ontario,CA,177963,34.065846,-117.6484304
147,Salem,OR,177723,44.9391565,-123.033121
148,Cary,NC,176987,35.7882893,-78.7812081
149,Santa Rosa,CA,176938,38.4404925,-122.7141049
150,Rancho Cucamonga,CA,175142,34.1279268,-117.5643221
151,Eugene,OR,175096,44.0505054,-123.0950506
152,Oceanside,CA,172982,33.1958696,-117.3794834
153,Clarksville,TN,170957,36.5277607,-87.3588703
154,Garden Grove,CA,170488,33.7746292,-117.9463717
155,Lancaster,CA,170150,34.6981064,-118.1366153
156,Springfield,MO,169724,37.2166779,-93.2920373
157,Pembroke Pines,FL,169391,26.0031465,-80.223937
158,Fort Collins,CO,168538,40.5508527,-105.0668085
159,Palmdale,CA,165761,34.5793131,-118.1171108
160,Salinas,CA,162791,36.6744117,-121.6550372
161,Hayward,CA,159827,37.6688205,-122.080796
162,Corona,CA,159743,33.8752945,-117.5664449
163,Paterson,NJ,157794,40.9167654,-74.171811
164,Murfreesboro,TN,157519,35.8460396,-86.3921096
165,Macon-Bibb County,GA,156762,32.8406946,-83.6324022
166,Lakewood,CO,156605,39.7085736,-105.0846694
167,Killeen,TX,156261,31.1171441,-97.727796
168,Springfield,MA,154789,42.1018764,-72.5886727
169,Alexandria,VA,154706,38.8051095,-77.0470229
170,Kansas City,KS,154545,39.100105,-94.5781416
171,Sunnyvale,CA,152258,37.3688301,-122.036349
172,Hollywood,FL,152131,26.0112014,-80.1494901
173,Roseville,CA,151901,38.7521235,-121.2880059
174,Charleston,SC,151612,32.7876012,-79.9402728
175,Escondido,CA,150665,33.1216751,-117.0814849
176,Joliet,IL,150372,41.5263603,-88.0840212
177,Jackson,MS,149761,32.2990021,-90.1847691
178,Bellevue,WA,149440,47.6144219,-122.192337
179,Surprise,AZ,149191,33.6292271,-112.3680189
180,Naperville,IL,149104,41.7728699,-88.1479278
181,Pasadena,TX,148626,29.6910625,-95.2091006
182,Pomona,CA,148338,34.0553813,-117.7517496
183,Bridgeport,CT,148333,41.1670412,-73.2048348
184,Denton,TX,148146,33.1838787,-97.1413417
185,Rockford,IL,147711,42.2713945,-89.093966
186,Mesquite,TX,147691,32.7666103,-96.599472
187,Savannah,GA,147088,32.0809263,-81.0911768
188,Syracuse,NY,146103,43.0481221,-76.1474244
189,McAllen,TX,143920,26.204114,-98.2300605
190,Torrance,CA,143600,33.8358492,-118.3406288
191,Olathe,KS,143014,38.8838856,-94.81887
192,Visalia,CA,142978,36.3302284,-119.2920585
193,Thornton,CO,142610,39.8695516,-104.985181
194,Fullerton,CA,141874,33.8739385,-117.9243399
195,Gainesville,FL,140398,29.6519684,-82.3249846
196,Waco,TX,139594,31.549333,-97.1466695
197,West Valley City,UT,139110,40.6967254,-111.9868211
198,Warren,MI,138130,42.4932575,-83.0062746
199,Hampton,VA,137746,37.0300969,-76.3452057
200,Dayton,OH,137571,39.7589478,-84.1916069
201,Columbia,SC,137541,38.88974405,-77.04086076
202,Orange,CA,137264,33.7500378,-117.8704931
203,Cedar Rapids,IA,136467,41.9758872,-91.6704053
204,Stamford,CT,136309,41.0534302,-73.5387341
205,Victorville,CA,135950,34.5361067,-117.2911565
206,Pasadena,CA,135732,34.1476452,-118.1444779
207,Elizabeth,NJ,135407,40.6639916,-74.2107006
208,New Haven,CT,135081,41.3082138,-72.9250518
209,Miramar,FL,135077,25.9873137,-80.2322706
210,Kent,WA,134835,47.3826903,-122.2270272
211,Sterling Heights,MI,133269,42.5803122,-83.0302033
212,Carrollton,TX,133251,32.9537349,-96.8902816
213,Coral Springs,FL,132822,26.271192,-80.2706044
214,Midland,TX,131325,32.02393955,-102.0964892
215,Norman,OK,128097,35.2225717,-97.4394816
216,Athens-Clarke County,GA,127358,33.9458693,-83.3557816
217,Santa Clara,CA,127151,37.2333253,-121.6846349
218,Columbia,MO,126853,38.9464035,-92.34846316
219,Fargo,ND,126748,46.877229,-96.789821
220,Pearland,TX,125990,29.5639758,-95.2864299
221,Simi Valley,CA,125975,34.2677404,-118.7538071
222,Meridian,ID,125963,43.6086295,-116.392326
223,Topeka,KS,125963,39.049011,-95.677556
224,Allentown,PA,125944,40.6022059,-75.4712794
225,Thousand Oaks,CA,125754,34.1705609,-118.8375937
226,Abilene,TX,125070,32.44645,-99.7475905
227,Vallejo,CA,124886,38.1040864,-122.2566367
228,Concord,CA,124074,37.9768525,-122.0335624
229,Round Rock,TX,123876,30.5085915,-97.6788056
230,Arvada,CO,123436,39.8005505,-105.0811573
231,Clovis,CA,122989,36.8252277,-119.7029194
232,Palm Bay,FL,122942,27.9946969,-80.6366144
233,Independence,MO,122088,39.0924792,-94.4137923
234,Lafayette,LA,121771,30.2043259,-92.0298813
235,Ann Arbor,MI,121536,42.2681569,-83.7312291
236,Rochester,MN,121465,44.0234387,-92.4630182
237,Hartford,CT,120576,41.764582,-72.6908547
238,College Station,TX,120019,30.5955289,-96.3071042
239,Fairfield,CA,119705,38.2493581,-122.039966
240,Wilmington,NC,117643,34.2257282,-77.9447107
241,North Charleston,SC,117472,32.9131295,-80.0629982
242,Billings,MT,117445,45.7874957,-108.49607
243,West Palm Beach,FL,117286,26.715364,-80.0532942
244,Berkeley,CA,117145,37.8753497,-122.2396336
245,Cambridge,MA,117090,42.3750997,-71.1056157
246,Clearwater,FL,116674,27.9658533,-82.8001026
247,West Jordan,UT,116541,40.6061308,-111.9396586
248,Evansville,IN,116486,37.9747645,-87.5558483
249,Richardson,TX,116382,32.9481789,-96.7297206
250,Broken Arrow,OK,116330,36.0185695,-95.79088215
251,Richmond,CA,115639,37.9357576,-122.347748
252,League City,TX,115595,29.5074538,-95.0949303
253,Manchester,NH,115462,42.9956397,-71.4547891
254,Lakeland,FL,115425,28.0394654,-81.9498042
255,Carlsbad,CA,115302,33.1580933,-117.3505966
256,Antioch,CA,114794,38.0049214,-121.805789
257,Westminster,CO,114561,39.8366528,-105.0372046
258,High Point,NC,114086,35.9556924,-80.0053176
259,Provo,UT,114084,40.2337289,-111.6587085
260,Lowell,MA,113994,42.6334247,-71.3161718
261,Elgin,IL,113911,42.03726,-88.2810994
262,Waterbury,CT,113811,41.5538091,-73.0438362
263,Springfield,IL,113394,39.7990175,-89.6439575
264,Gresham,OR,113103,45.4997475,-122.4309766
265,Murrieta,CA,112991,33.5777524,-117.1884542
266,Lewisville,TX,112944,33.046233,-96.994174
267,Las Cruces,NM,112914,32.3140354,-106.7798078
268,Lansing,MI,112684,42.7337712,-84.5553805
269,Beaumont,TX,112556,30.0860459,-94.1018461
270,Odessa,TX,112483,31.8457149,-102.367687
271,Pueblo,CO,112368,38.2544472,-104.609141
272,Peoria,IL,111666,40.6938609,-89.5891008
273,Downey,CA,111645,33.942215,-118.1235646
274,Pompano Beach,FL,111348,26.2378597,-80.1247667
275,Miami Gardens,FL,110867,25.9423108,-80.23976495
276,Temecula,CA,110846,33.4946353,-117.1473661
277,Everett,WA,110812,47.9673056,-122.201399
278,Costa Mesa,CA,110750,33.6636611,-117.9194652
279,San Buenaventura (Ventura),CA,109925,34.3640573,-119.3110159
280,Sparks,NV,109796,39.5404679,-119.7487235
281,Santa Maria,CA,109711,34.9531295,-120.4358577
282,Sugar Land,TX,109373,29.6196787,-95.6349463
283,Greeley,CO,109323,40.4233142,-104.7091322
284,South Fulton,GA,108575,33.5902659,-84.6712292
285,Dearborn,MI,108420,42.3222599,-83.1763145
286,Concord,NC,107697,35.4094178,-80.5800049
287,Tyler,TX,107192,32.3512601,-95.3010624
288,Sandy Springs,GA,107180,33.9242688,-84.3785379
289,West Covina,CA,107017,34.0471735,-117.8963243
290,Green Bay,WI,107015,44.5126379,-88.0125794
291,Centennial,CO,106966,39.579155,-104.8769227
292,Jurupa Valley,CA,106941,33.9798472,-117.4515754
293,El Monte,CA,106907,34.0751571,-118.036849
294,Allen,TX,106874,33.1031744,-96.6705503
295,Hillsboro,OR,106633,45.5228939,-122.989827
296,Menifee,CA,106401,33.6864432,-117.1770437
297,Nampa,ID,106186,43.5737361,-116.559631
298,Spokane Valley,WA,105905,47.6571104,-117.2613936
299,Rio Rancho,NM,105834,35.269381,-106.632819
300,Brockton,MA,105446,42.0834335,-71.0183787
301,El Cajon,CA,105432,32.7947731,-116.962526
302,Burbank,CA,105401,34.1816482,-118.3258554
303,Inglewood,CA,105181,33.9562003,-118.353132
304,Renton,WA,105179,47.4799078,-122.2034496
305,Davie,FL,104882,26.0628665,-80.2331038
306,Rialto,CA,104394,34.1064001,-117.3703235
307,Boulder,CO,104175,40.0149856,-105.270545
308,South Bend,IN,103353,41.6833813,-86.2500066
309,Vacaville,CA,103078,38.3565773,-121.9877444
310,Wichita Falls,TX,102988,33.9137085,-98.4933873
311,Lee's Summit,MO,102781,38.9107156,-94.3821295
312,Edinburg,TX,102483,26.3013982,-98.1624501
313,Chico,CA,102338,39.7284945,-121.8374777
314,San Mateo,CA,102200,37.496904,-122.3330573
315,Bend,OR,102059,44.0581728,-121.3153096
316,Goodyear,AZ,101733,33.4353672,-112.3576
317,Buckeye,AZ,101315,33.3703197,-112.583776
318,Daly City,CA,101243,37.6904826,-122.47267
319,Fishers,IN,101171,39.9555928,-86.0138729
320,Quincy,MA,101119,42.2509914,-71.0037374
321,Davenport,IA,101009,41.5236436,-90.5776368
322,Hesperia,CA,100971,34.4263886,-117.3008784
323,New Bedford,MA,100941,41.6362152,-70.934205
324,Lynn,MA,100843,42.466763,-70.9494939
325,Carmel,IN,100777,39.9788017,-86.1189257
326,Longmont,CO,100758,40.1672117,-105.1019287
327,Tuscaloosa,AL,100618,33.2095614,-87.5675258
328,Norwalk,CA,100373,33.9092802,-118.0849169
