rank,city,state,population,latitude,longitude
1,New York,NY,8015348,40.7127281,-74.0060152
2,Los Angeles,CA,3703921,34.0536909,-118.242766
3,Chicago,IL,2895671,41.8755616,-87.6244212
4,Houston,TX,1977811,29.7589382,-95.3676974
5,Philadelphia,PA,1513800,39.9527237,-75.1635262
6,Phoenix,AZ,1326997,33.4484367,-112.0741417
7,San Diego,CA,1226804,32.7174202,-117.1627728
8,Dallas,TX,1190731,32.7762719,-96.7968559
9,San Antonio,TX,1163825,29.4246002,-98.4951405
10,Detroit,MI,945297,42.3315509,-83.0466403
11,San Jose,CA,903540,37.3361905,-121.890583
12,Indianapolis,IN,782254,39.7683331,-86.1583502
13,San Francisco,CA,777360,37.7790262,-122.419906
14,Jacksonville,FL,736583,30.3321838,-81.655651
15,Columbus,OH,715971,39.9622601,-83.0007065
16,Memphis,TN,690186,35.1335022,-89.9668758
17,Austin,TX,672241,30.2711286,-97.7436995
18,Baltimore,MD,648654,39.2908816,-76.610759
19,Milwaukee,WI,597049,43.0349931,-87.922497
20,Boston,MA,590433,42.3602534,-71.0582912
21,Washington,DC,571744,38.8950368,-77.0365427
22,Charlotte,NC,569858,35.2272086,-80.8430827
23,El Paso,TX,564792,31.7754152,-106.464634
24,Seattle,WA,564092,47.6038321,-122.3300624
25,Denver,CO,556094,39.7392364,-104.9848623
26,Louisville,KY,553960,38.2542376,-85.759407
27,Fort Worth,TX,545993,32.753177,-97.3327459
28,Nashville,TN,545902,36.1622767,-86.7742984
29,Portland,OR,529922,45.5202471,-122.6741949
30,Oklahoma City,OK,507579,35.4729886,-97.5170536
31,Tucson,AZ,489355,32.2228765,-110.9748477
32,Las Vegas,NV,484487,36.1672559,-115.148516
33,New Orleans,LA,483663,29.9759983,-90.0782127
34,Cleveland,OH,476574,41.4996562,-81.6936813
35,Long Beach,CA,462166,33.7690164,-118.191604
36,Albuquerque,NM,450557,35.21287095,-106.7132485
37,Kansas City,MO,442369,39.100105,-94.5781416
38,Fresno,CA,430724,36.7295295,-119.7088613
39,Virginia Beach,VA,426534,36.8529841,-75.9774183
40,Atlanta,GA,421323,33.7489924,-84.3902644
41,Omaha,NE,409868,41.2587459,-95.9383758
42,Sacramento,CA,409230,38.5810606,-121.493895
43,Mesa,AZ,402853,33.4151117,-111.8314792
44,Oakland,CA,400674,37.8044557,-122.2713563
45,Tulsa,OK,392850,36.1556805,-95.9929113
46,Minneapolis,MN,382545,44.9772995,-93.2654692
47,Honolulu,HI,370966,21.304547,-157.855676
48,Miami,FL,363177,25.7741728,-80.19362
49,Colorado Springs,CO,362186,38.8339578,-104.825348
50,Wichita,KS,352366,37.6922361,-97.3375448
51,St. Louis,MO,346904,38.6264256,-90.1995853
52,Santa Ana,CA,338506,33.7494951,-117.8732213
53,Arlington,TX,334792,32.701939,-97.10562379
54,Pittsburgh,PA,333703,40.4416941,-79.9900861
55,Cincinnati,OH,331258,39.1014537,-84.5124602
56,Anaheim,CA,329267,33.8347516,-117.911732
57,Toledo,OH,313691,41.6529143,-83.5378173
58,Tampa,FL,304157,27.9477595,-82.458444
59,Buffalo,NY,292210,42.8867166,-78.8783922
60,Raleigh,NC,290184,35.7803977,-78.6390989
61,St. Paul,MN,286772,44.9497487,-93.0931028
62,Aurora,CO,277825,39.7405111,-104.8309947
63,Corpus Christi,TX,277253,27.7951482,-97.3942053
64,Newark,NJ,272665,40.735657,-74.1723667
65,Lexington,KY,261189,38.0464066,-84.4970393
66,Anchorage,AK,260586,61.2163129,-149.894852
67,Riverside,CA,258427,33.9459413,-117.4102444
68,Fort Wayne,IN,253914,41.0799898,-85.1386015
69,St. Petersburg,FL,248751,27.7703796,-82.6695085
70,Bakersfield,CA,244952,35.3738712,-119.0194639
71,Stockton,CA,244611,37.9577016,-121.2907796
72,Birmingham,AL,242051,33.5206824,-86.8024326
73,Jersey City,NJ,240028,40.7215682,-74.047455
74,Norfolk,VA,234288,36.8968052,-76.2602336
75,Greensboro,NC,228518,36.0726355,-79.7919754
76,Baton Rouge,LA,228350,30.4459596,-91.18738
77,Lincoln,NE,227701,40.8088861,-96.7077751
78,Hialeah,FL,226142,25.8670439,-80.29146452
79,Plano,TX,224189,33.0136764,-96.6925096
80,Glendale,AZ,221780,33.5386858,-112.1859941
81,Rochester,NY,219474,43.157285,-77.615214
82,Akron,OH,216853,41.083064,-81.518485
83,Garland,TX,216016,32.912624,-96.6388833
84,Madison,WI,210070,43.074761,-89.3837613
85,Fremont,CA,204294,37.5482697,-121.988571
86,Scottsdale,AZ,204285,33.4942189,-111.9260184
87,Winston-Salem,NC,202198,36.0998131,-80.2440518
88,Montgomery,AL,201714,32.3669656,-86.3006485
89,Shreveport,LA,200575,32.5221828,-93.7651944
90,Chesapeake,VA,200283,36.7183708,-76.2466798
91,Lubbock,TX,200231,33.5635206,-101.879336
92,Des Moines,IA,199607,41.5910323,-93.6046655
93,Fayetteville,NC,199429,35.0525759,-78.878292
94,Mobile,AL,198774,30.6943566,-88.0430541
