city,state,latitude,longitude
Oceanside,CA,33.1958696,-117.3794834
Elk Grove,CA,38.4087993,-121.3716178
Salem,OR,44.9391565,-123.033121
Pembroke Pines,FL,26.0031465,-80.223937
Eugene,OR,44.0505054,-123.0950506
Garden Grove,CA,33.7746292,-117.9463717
Cary,NC,35.7882893,-78.7812081
Fort Collins,CO,40.5508527,-105.0668085
Corona,CA,33.8752945,-117.5664449
Springfield,MO,37.2166779,-93.2920373
Jackson,MS,32.2990021,-90.1847691
Alexandria,VA,38.8051095,-77.0470229
Hayward,CA,37.6688205,-122.080796
Clarksville,TN,36.5277607,-87.3588703
Lakewood,CO,39.7085736,-105.0846694
Lancaster,CA,34.6981064,-118.1366153
Salinas,CA,36.6744117,-121.6550372
Palmdale,CA,34.5793131,-118.1171108
Hollywood,FL,26.0112014,-80.1494901
Springfield,MA,42.1018764,-72.5886727
Macon-Bibb County,GA,32.8406946,-83.6324022
Kansas City,KS,39.100105,-94.5781416
Sunnyvale,CA,37.3688301,-122.036349
Pomona,CA,34.0553813,-117.7517496
Killeen,TX,31.1171441,-97.727796
Escondido,CA,33.1216751,-117.0814849
Pasadena,TX,29.6910625,-95.2091006
Naperville,IL,41.7728699,-88.1479278
Bellevue,WA,47.6144219,-122.192337
Joliet,IL,41.5263603,-88.0840212
Murfreesboro,TN,35.8460396,-86.3921096
Midland,TX,32.02393955,-102.0964892
Rockford,IL,42.2713945,-89.093966
Paterson,NJ,40.9167654,-74.171811
Savannah,GA,32.0809263,-81.0911768
Bridgeport,CT,41.1670412,-73.2048348
Torrance,CA,33.8358492,-118.3406288
McAllen,TX,26.204114,-98.2300605
Syracuse,NY,43.0481221,-76.1474244
Surprise,AZ,33.6292271,-112.3680189
Denton,TX,33.1838787,-97.1413417
Roseville,CA,38.7521235,-121.2880059
Thornton,CO,39.8695516,-104.985181
Miramar,FL,25.9873137,-80.2322706
Pasadena,CA,34.1476452,-118.1444779
Mesquite,TX,32.7666103,-96.599472
Olathe,KS,38.8838856,-94.81887
Dayton,OH,39.7589478,-84.1916069
Carrollton,TX,32.9537349,-96.8902816
Waco,TX,31.549333,-97.1466695
Orange,CA,33.7500378,-117.8704931
Fullerton,CA,33.8739385,-117.9243399
Charleston,SC,32.7876012,-79.9402728
West Valley City,UT,40.6967254,-111.9868211
Visalia,CA,36.3302284,-119.2920585
Hampton,VA,37.0300969,-76.3452057
Gainesville,FL,29.6519684,-82.3249846
Warren,MI,42.4932575,-83.0062746
Coral Springs,FL,26.271192,-80.2706044
Cedar Rapids,IA,41.9758872,-91.6704053
Round Rock,TX,30.5085915,-97.6788056
Sterling Heights,MI,42.5803122,-83.0302033
Kent,WA,47.3826903,-122.2270272
Columbia,SC,38.88974405,-77.04086076
Santa Clara,CA,37.2333253,-121.6846349
New Haven,CT,41.3082138,-72.9250518
Stamford,CT,41.0534302,-73.5387341
Concord,CA,37.9768525,-122.0335624
Elizabeth,NJ,40.6639916,-74.2107006
Athens-Clarke County,GA,33.9458693,-83.3557816
Thousand Oaks,CA,34.1705609,-118.8375937
Lafayette,LA,30.2043259,-92.0298813
Simi Valley,CA,34.2677404,-118.7538071
Topeka,KS,39.049011,-95.677556
Norman,OK,35.2225717,-97.4394816
Fargo,ND,46.877229,-96.789821
Wilmington,NC,34.2257282,-77.9447107
Abilene,TX,32.44645,-99.7475905
Odessa,TX,31.8457149,-102.367687
Columbia,MO,38.9464035,-92.34846316
Pearland,TX,29.5639758,-95.2864299
Victorville,CA,34.5361067,-117.2911565
Hartford,CT,41.764582,-72.6908547
Vallejo,CA,38.1040864,-122.2566367
Allentown,PA,40.6022059,-75.4712794
Berkeley,CA,37.8753497,-122.2396336
Richardson,TX,32.9481789,-96.7297206
Arvada,CO,39.8005505,-105.0811573
Ann Arbor,MI,42.2681569,-83.7312291
Rochester,MN,44.0234387,-92.4630182
Cambridge,MA,42.3750997,-71.1056157
Sugar Land,TX,29.6196787,-95.6349463
Lansing,MI,42.7337712,-84.5553805
Evansville,IN,37.9747645,-87.5558483
College Station,TX,30.5955289,-96.3071042
Fairfield,CA,38.2493581,-122.039966
Clearwater,FL,27.9658533,-82.8001026
Beaumont,TX,30.0860459,-94.1018461
Independence,MO,39.0924792,-94.4137923
Provo,UT,40.2337289,-111.6587085
West Jordan,UT,40.6061308,-111.9396586
Murrieta,CA,33.5777524,-117.1884542
Palm Bay,FL,27.9946969,-80.6366144
El Monte,CA,34.0751571,-118.036849
Carlsbad,CA,33.1580933,-117.3505966
North Charleston,SC,32.9131295,-80.0629982
Temecula,CA,33.4946353,-117.1473661
Clovis,CA,36.8252277,-119.7029194
Springfield,IL,39.7990175,-89.6439575
Meridian,ID,43.6086295,-116.392326
Westminster,CO,39.8366528,-105.0372046
Costa Mesa,CA,33.6636611,-117.9194652
High Point,NC,35.9556924,-80.0053176
Manchester,NH,42.9956397,-71.4547891
Pueblo,CO,38.2544472,-104.609141
Lakeland,FL,28.0394654,-81.9498042
Pompano Beach,FL,26.2378597,-80.1247667
West Palm Beach,FL,26.715364,-80.0532942
Antioch,CA,38.0049214,-121.805789
Everett,WA,47.9673056,-122.201399
Downey,CA,33.942215,-118.1235646
Lowell,MA,42.6334247,-71.3161718
Centennial,CO,39.579155,-104.8769227
Elgin,IL,42.03726,-88.2810994
Richmond,CA,37.9357576,-122.347748
Peoria,IL,40.6938609,-89.5891008
Broken Arrow,OK,36.0185695,-95.79088215
Miami Gardens,FL,25.9423108,-80.23976495
Billings,MT,45.7874957,-108.49607
Jurupa Valley,CA,33.9798472,-117.4515754
Sandy Springs,GA,33.9242688,-84.3785379
Gresham,OR,45.4997475,-122.4309766
Lewisville,TX,33.046233,-96.994174
Hillsboro,OR,45.5228939,-122.989827
San Buenaventura (Ventura),CA,34.3640573,-119.3110159
Greeley,CO,40.4233142,-104.7091322
Inglewood,CA,33.9562003,-118.353132
Waterbury,CT,41.5538091,-73.0438362
League City,TX,29.5074538,-95.0949303
Santa Maria,CA,34.9531295,-120.4358577
Tyler,TX,32.3512601,-95.3010624
Davie,FL,26.0628665,-80.2331038
Daly City,CA,37.6904826,-122.47267
Boulder,CO,40.0149856,-105.270545
Allen,TX,33.1031744,-96.6705503
West Covina,CA,34.0471735,-117.8963243
Sparks,NV,39.5404679,-119.7487235
Wichita Falls,TX,33.9137085,-98.4933873
Green Bay,WI,44.5126379,-88.0125794
San Mateo,CA,37.496904,-122.3330573
Norwalk,CA,33.9092802,-118.0849169
Rialto,CA,34.1064001,-117.3703235
Las Cruces,NM,32.3140354,-106.7798078
Chico,CA,39.7284945,-121.8374777
El Cajon,CA,32.7947731,-116.962526
Burbank,CA,34.1816482,-118.3258554
South Bend,IN,41.6833813,-86.2500066
Renton,WA,47.4799078,-122.2034496
Vista,CA,33.2000368,-117.2425355
Davenport,IA,41.5236436,-90.5776368
Edinburg,TX,26.3013982,-98.1624501
Tuscaloosa,AL,33.2095614,-87.5675258
Carmel,IN,39.9788017,-86.1189257
Spokane Valley,WA,47.6571104,-117.2613936
San Angelo,TX,31.4649685,-100.4405094
Vacaville,CA,38.3565773,-121.9877444
Bend,OR,44.0581728,-121.3153096
Kenosha,WI,42.5846773,-87.8212263
Boca Raton,FL,26.3586885,-80.0830984
Lee's Summit,MO,38.9107156,-94.3821295
Nampa,ID,43.5737361,-116.559631
Rio Rancho,NM,35.269381,-106.632819
South Fulton,GA,33.5902659,-84.6712292
Roanoke,VA,37.270973,-79.9414313
Beaverton,OR,45.4871723,-122.80378
Yuma,AZ,32.665135,-114.4760316
Lawrence,KS,38.9719384,-95.2359496
Orem,UT,40.2981599,-111.6944313
Longmont,CO,40.1672117,-105.1019287
San Marcos,CA,33.1433723,-117.1661449
Albany,NY,42.6511674,-73.754968
Sandy,UT,40.5710454,-111.8953815
Concord,NC,35.4094178,-80.5800049
Federal Way,WA,47.313494,-122.3393103
Hesperia,CA,34.4263886,-117.3008784
Brockton,MA,42.0834335,-71.0183787
Compton,CA,33.894927,-118.226624
Flint,MI,43.0161693,-83.6900211
Erie,PA,42.1294712,-80.0852695
New Bedford,MA,41.6362152,-70.934205
Fishers,IN,39.9555928,-86.0138729
Sunrise,FL,26.1471902,-80.32966129
Roswell,GA,34.02332,-84.360022
Menifee,CA,33.6864432,-117.1770437
Tracy,CA,37.7385507,-121.4201395
Plantation,FL,26.12744855,-80.25779068
Quincy,MA,42.2509914,-71.0037374
Portsmouth,VA,36.8444196,-76.3532998
Mission Viejo,CA,33.5965685,-117.659405
Chino,CA,34.0133561,-117.690075
Lynn,MA,42.466763,-70.9494939
Edmond,OK,35.6571367,-97.4649038
Dearborn,MI,42.3222599,-83.1763145
Livonia,MI,42.36837,-83.3527097
Yakima,WA,46.601557,-120.510842
South Gate,CA,33.9463456,-118.200981
Greenville,NC,35.613224,-77.3724593
Lawton,OK,34.6086854,-98.3903305
Kirkland,WA,47.6859573,-122.1920249
Asheville,NC,35.6009498,-82.5540161
Deltona,FL,28.9005446,-81.2636738
Redding,CA,40.5863563,-122.391675
Bellingham,WA,48.7544012,-122.4788361
Suffolk,VA,36.7282096,-76.5835703
Indio,CA,33.743765,-116.2233152
Mount Pleasant,SC,32.7940651,-79.8625851
Carson,CA,33.8322043,-118.2517547
Santa Barbara,CA,34.4221319,-119.7026673
Conroe,TX,30.3118769,-95.4560512
Westminster,CA,33.7578725,-117.9859054
Santa Monica,CA,34.0194704,-118.4912273
New Braunfels,TX,29.7028266,-98.1257348
Livermore,CA,37.6820583,-121.7680531
Palm Coast,FL,29.5541432,-81.2207673
St. George,UT,37.104153,-113.5841313
Fall River,MA,41.7010642,-71.1546367
Nashua,NH,42.7656251,-71.4677032
Champaign,IL,40.1164841,-88.2430932
Miami Beach,FL,25.7929198,-80.1353006
Norwalk,CT,41.1175966,-73.4078968
San Leandro,CA,37.7249296,-122.1560768
O'Fallon,MO,38.7910374,-90.7039107
Newton,MA,42.3370414,-71.2092214
Reading,PA,40.335345,-75.9279495
Avondale,AZ,33.4355977,-112.349602
Fort Smith,AR,35.3784666,-94.3996456
Citrus Heights,CA,38.7071247,-121.2810611
Ogden,UT,41.2230048,-111.9738429
Fayetteville,AR,36.0625843,-94.1574328
Fort Myers,FL,26.640628,-81.8723084
Goodyear,AZ,33.4353672,-112.3576
Bryan,TX,30.6743643,-96.3699632
Waukegan,IL,42.3636331,-87.8447938
Hawthorne,CA,33.9188589,-118.3483256
Redwood City,CA,37.4863239,-122.232523
Hoover,AL,33.4092646,-86.66217961
Bloomington,IN,39.1670396,-86.5342881
Duluth,MN,46.7729322,-92.1251218
Lake Forest,CA,33.6469261,-117.6859213
Hemet,CA,33.7475203,-116.9719684
Whittier,CA,33.9708782,-118.0308396
Clifton,NJ,40.8584328,-74.1637553
Largo,FL,27.9094665,-82.7873244
Bloomington,MN,44.8322405,-93.3204872
Danbury,CT,41.394817,-73.4540111
Santa Fe,NM,35.6876096,-105.9384569
Johns Creek,GA,34.0181557,-84.190196
Newport Beach,CA,33.6170092,-117.9294401
Kennewick,WA,46.2087066,-119.1199192
Mission,TX,26.2159066,-98.3252932
Milpitas,CA,37.4282771,-121.9069256
Troy,MI,42.6055893,-83.1499304
Chino Hills,CA,33.9926803,-117.760056
Alhambra,CA,34.093042,-118.12706
Merced,CA,37.1641544,-120.7678602
Trenton,NJ,40.2170575,-74.7429463
Franklin,TN,35.925206,-86.8689419
Medford,OR,42.3264181,-122.8718605
Melbourne,FL,28.106471,-80.6371513
Manteca,CA,37.7986184,-121.2117148
Mountain View,CA,37.3893889,-122.0832101
Sioux City,IA,42.4966815,-96.4058782
Lynchburg,VA,37.4137536,-79.1422464
Buena Park,CA,33.870413,-117.9962165
Pleasanton,CA,37.6624312,-121.8746789
Longview,TX,32.5007031,-94.74049
Westland,MI,42.3238056,-83.4005321
Auburn,WA,47.3075369,-122.2301808
Cranston,RI,41.7809588,-71.4371257
Somerville,MA,42.3875968,-71.0994968
Folsom,CA,38.6779591,-121.1760583
Springdale,AR,36.1867442,-94.1288142
Deerfield Beach,FL,26.318342,-80.0996306
Warwick,RI,41.7002024,-71.4161108
Cicero,IL,41.8455398,-87.7540199
Farmington Hills,MI,42.4853125,-83.3771553
Brooklyn Park,MN,45.1004807,-93.3443585
Lawrence,MA,42.7070354,-71.1631137
Plymouth,MN,45.0065149,-93.46651
Buckeye,AZ,33.3703197,-112.583776
Georgetown,TX,30.6326942,-97.6772311
Cedar Park,TX,30.5217116,-97.827833
Tustin,CA,33.7458511,-117.826166
Lakewood,CA,33.8503463,-118.1171914
Perris,CA,33.7825194,-117.2286478
Flower Mound,TX,33.0283854,-97.0867203
Pharr,TX,26.1947962,-98.1836216
Loveland,CO,40.3977612,-105.0749801
Boynton Beach,FL,26.5256179,-80.0666026
New Rochelle,NY,40.9115386,-73.7826363
Temple,TX,31.098207,-97.3427847
Lake Charles,LA,30.2265949,-93.2173759
Jonesboro,AR,35.8428646,-90.7034522
Napa,CA,38.2971367,-122.2855293
Parma,OH,41.3822398,-81.7355692
Layton,UT,41.0751048,-111.9741925
Alameda,CA,37.6090291,-121.899142
Warner Robins,GA,32.6200973,-83.606568
Rapid City,SD,44.0869329,-103.2274481
Bloomington,IL,40.4797828,-88.9939147
Gastonia,NC,35.2622158,-81.1838794
Baytown,TX,29.7355047,-94.9774274
Upland,CA,34.09751,-117.6483876
Racine,WI,42.7260523,-87.7825242
Scranton,PA,41.4086874,-75.6621294
South Jordan,UT,40.5584882,-111.9367107
Bellflower,CA,33.8825705,-118.1167679
Kalamazoo,MI,42.291707,-85.5872286
San Ramon,CA,37.7648021,-121.9544387
Bethlehem,PA,40.6178915,-75.3786521
Wyoming,MI,42.9132581,-85.7057035
Hammond,IN,41.5833658,-87.500043
Missoula,MT,46.8701049,-113.995267
Missouri City,TX,29.6185669,-95.5377215
Pasco,WA,46.2306739,-119.0921006
Baldwin Park,CA,34.0854739,-117.9611761
Iowa City,IA,41.6612561,-91.5299106
Rancho Cordova,CA,38.567526,-121.2232054
Rock Hill,SC,34.9248667,-81.0250784
Flagstaff,AZ,35.1987522,-111.6518229
Gary,IN,41.6020962,-87.3370647
St. Joseph,MO,39.7686055,-94.8466322
Arlington Heights,IL,42.0811563,-87.9802164
Bolingbrook,IL,41.7003302,-88.0717708
Rochester Hills,MI,42.6583661,-83.1499322
Framingham,MA,42.3095704,-71.4413097
Union City,CA,37.5963232,-122.0816297
Appleton,WI,44.2613967,-88.4069744
Turlock,CA,37.4946568,-120.8465941
Camden,NJ,39.9448402,-75.1198911
Bismarck,ND,46.808327,-100.783739
Evanston,IL,42.0447388,-87.6930459
Apple Valley,CA,34.5008311,-117.1858759
Schaumburg,IL,42.0333608,-88.083406
Woodbury,MN,44.919896,-92.9339449
Kissimmee,FL,28.2918995,-81.4075838
Southfield,MI,42.4733689,-83.2218731
Maple Grove,MN,45.0984983,-93.4419222
Pittsburg,CA,38.0181745,-121.8901232
New Britain,CT,41.6612104,-72.7795419
Jacksonville,NC,34.7494749,-77.4208221
Mansfield,TX,32.5631924,-97.1416768
Waukesha,WI,43.0053145,-88.2473643
Frederick,MD,39.415779,-77.4127562
Albany,GA,31.5782062,-84.1556809
Pawtucket,RI,41.878711,-71.3825558
Redmond,WA,47.6694141,-122.1238767
Lauderhill,FL,26.1403635,-80.2133808
Lafayette,IN,40.4211664,-86.8943695
Gulfport,MS,30.3674198,-89.0928155
Redlands,CA,34.0550328,-117.1827445
Weston,FL,26.10315835,-80.40284231
St. Charles,MO,38.7877791,-90.6747372
Decatur,IL,39.8454163,-88.9524151
North Port,FL,27.044224,-82.2359254
North Richland Hills,TX,32.8342952,-97.2289029
Greenville,SC,34.851354,-82.3984882
Bowling Green,KY,36.9903199,-86.4436018
Broomfield,CO,39.9403995,-105.0520809
Canton,OH,40.7985464,-81.3749508
Marysville,WA,48.0517429,-122.1768209
Walnut Creek,CA,37.9020731,-122.0618702
Wilmington,DE,39.7459468,-75.546589
Camarillo,CA,34.2176371,-119.0383541
Lynwood,CA,33.924831,-118.2024154
Lehi,UT,40.3881114,-111.8486019
Passaic,NJ,40.8567663,-74.1284764
Homestead,FL,25.4718946,-80.4759905
Delray Beach,FL,26.4614625,-80.0728201
Davis,CA,38.545379,-121.744583
Lake Elsinore,CA,33.6680772,-117.3272615
Daytona Beach,FL,29.2108147,-81.0228331
Dothan,AL,31.2237434,-85.3933906
Rocklin,CA,38.7907339,-121.2357828
Eau Claire,WI,44.811349,-91.4984941
Rogers,AR,36.3320197,-94.1185366
Castle Rock,CO,39.3722552,-104.8586826
St. Cloud,MN,45.5616075,-94.1642004
Bossier City,LA,32.5369356,-93.6952689
Rockville,MD,39.0817985,-77.1516844
Muncie,IN,40.1936892,-85.3865271
Gaithersburg,MD,39.1399187,-77.1929215
Union City,NJ,40.7795455,-74.0237512
West Des Moines,IA,41.5645337,-93.7595281
South San Francisco,CA,37.6535403,-122.4168664
Yorba Linda,CA,33.8901096,-117.8249705
Conway,AR,35.2521996,-92.6888936
Lodi,CA,38.1301968,-121.2724473
Palatine,IL,42.1105779,-88.0336888
Ankeny,IA,41.7318715,-93.6003837
Mount Vernon,NY,40.9125815,-73.8370786
Rowlett,TX,32.9029017,-96.56388
Waterloo,IA,42.4979693,-92.3329637
Lakeville,MN,44.650051,-93.2432791
Alpharetta,GA,34.0709576,-84.2747329
Jackson,TN,35.6144446,-88.8177418
Yuba City,CA,39.1404477,-121.6169108
Oshkosh,WI,44.0206919,-88.5408574
Victoria,TX,28.8026443,-96.9766308
Johnson City,TN,36.3134398,-82.3534728
Redondo Beach,CA,33.8455911,-118.3886766
Tamarac,FL,26.2048464,-80.2708048
Laguna Niguel,CA,33.5225261,-117.7075526
Eagan,MN,44.818173,-93.1659179
Kenner,LA,29.9942265,-90.2417806
Auburn,AL,32.6098566,-85.4807825
Ames,IA,42.0267567,-93.6170448
Portland,ME,43.6610277,-70.2548596
North Little Rock,AR,34.769536,-92.2670941
Sammamish,WA,47.6088445,-122.0423067
Madera,CA,36.9622745,-120.0594685
Shawnee,KS,39.0273676,-95.7627535
Jupiter,FL,26.9342246,-80.0942087
Doral,FL,25.8195424,-80.3553302
Blaine,MN,45.1607987,-93.2349489
Tulare,CA,36.2516475,-118.852583
Youngstown,OH,41.1035786,-80.6520161
Wellington,FL,26.63799875,-80.25590781
Pflugerville,TX,30.4393696,-97.6200043
Palo Alto,CA,37.4443293,-122.1598465
Schenectady,NY,42.8142432,-73.9395687
Harlingen,TX,26.1907543,-97.6960599
Bayonne,NJ,40.6687141,-74.1143091
Eden Prairie,MN,44.8546856,-93.470786
Port Orange,FL,29.10162805,-81.01059618
Dublin,CA,37.7021521,-121.9357918
San Marcos,TX,29.8826436,-97.9405828
Noblesville,IN,40.0455918,-86.0085955
Santa Cruz,CA,37.050096,-121.9905908
Janesville,WI,42.6829765,-89.0226793
San Clemente,CA,33.4270275,-117.6124179
Brentwood,CA,37.9317766,-121.696026
East Orange,NJ,40.767323,-74.2048677
Cheyenne,WY,41.139981,-104.820246
Eastvale,CA,33.9747067,-117.566541
Chapel Hill,NC,35.9131542,-79.05578
Haverhill,MA,42.7777829,-71.0767724
Lorain,OH,41.4673238,-82.1781904
Grand Junction,CO,39.063956,-108.5507317
Springfield,OR,44.0462362,-123.0220289
Coon Rapids,MN,45.1728923,-93.3023898
Idaho Falls,ID,43.4887907,-112.03628
North Miami,FL,25.8900949,-80.1867138
Encinitas,CA,33.0369867,-117.2919818
Skokie,IL,42.0333694,-87.7333972
Leander,TX,30.5603086,-97.8553655
Waltham,MA,42.3756401,-71.2358004
Council Bluffs,IA,41.2621283,-95.8613912
Hamilton,OH,39.3995067,-84.5613428
Moore,OK,35.3395135,-97.4867045
Pico Rivera,CA,33.9830688,-118.096735
Montebello,CA,34.0159398,-118.111975
Millcreek,UT,40.6992918,-111.8555839
Sanford,FL,28.8117345,-81.2680223
National City,CA,32.6781085,-117.0991967
Burnsville,MN,44.7670567,-93.2773887
Coconut Creek,FL,26.2517482,-80.1789351
Lakewood,WA,47.1717649,-122.518458
Taylor,MI,42.240872,-83.2696509
Novi,MI,42.48059,-83.4754913
Marietta,GA,33.9528472,-84.5496148
Ocala,FL,29.1871986,-82.1400923
Terre Haute,IN,39.4667025,-87.4139119
Woodland,CA,38.6786109,-121.7733285
Petaluma,CA,38.2325829,-122.636465
La Habra,CA,33.9316066,-117.9454867
Malden,MA,42.4250964,-71.066163
Commerce City,CO,39.8083196,-104.9338675
Owensboro,KY,37.7742152,-87.1133304
Bristol,CT,41.6735209,-72.9464859
West Allis,WI,43.0166806,-88.0070315
Taylorsville,UT,40.6677096,-111.9385867
Utica,NY,43.1009031,-75.2326641
Monterey Park,CA,34.051522,-118.129807
Bonita Springs,FL,26.3618039,-81.79313612
Porterville,CA,36.06523,-119.0167679
Greenwood,IN,39.6136578,-86.1066526
Bartlett,TN,35.2045329,-89.8739753
Bradenton,FL,27.4989278,-82.5748194
Vineland,NJ,39.4862777,-75.0254256
Pontiac,MI,42.6389216,-83.2910468
Meriden,CT,41.5381535,-72.8070435
Gardena,CA,33.8963593,-118.3053037
Apex,NC,35.7325352,-78.8505516
Royal Oak,MI,42.4894801,-83.1446485
Cupertino,CA,37.3228934,-122.0322895
Lancaster,PA,40.03813,-76.3056686
La Mesa,CA,32.7678288,-117.0230839
Gilroy,CA,37.0065078,-121.5631723
St. Clair Shores,MI,42.4969652,-82.8890965
